
		 RH CYBERCAFE MANAGEMENT SYSTEM		  
			  Invoice

Invoice No :63

Invoice Date:2023-06-27

Time:03:53:00

MemberId :MICHEL12


------------------------------------------------------------------
 BookingID   | StartTime   |EndTime      | Duration    | Amount  |
------------------------------------------------------------------
     B0107    09:00:00      10:00:00             1             4
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
             |             |             |             |         |
------------------------------------------------------------------
